word,frequency
zodat,90003
jou,89636
meter,89312
beide,89301
sociale,89271
inderdaad,89249
b,88980
quote,88901
politiek,88738
trouwens,88500
auto,87920
houdt,87752
rt,87542
sommige,87425
uiteindelijk,87401
lange,87278
hoofd,87204
franse,86488
president,86143
stuk,86095
druk,85770
familie,85595
eten,85509
juist,85411
neemt,84982
des,84775
gehad,84760
et,84736
echte,84574
september,84544
zorgen,84420
belang,84149
13,84103
16,84083
nieuws,83973
helft,83898
miljard,83686
ervan,83652
foto,83597
xxx,83294
vlaams,83121
precies,83048
liet,82755
juni,82541
sterk,82346
klein,82343
daarmee,81844
vroeger,81542
gelijk,81528
nationale,81513
lopen,81454
handen,81248
mei,81153
beginnen,81135
jongeren,81105
werkt,80976
idee,80862
ongeveer,80251
start,80223
belangrijk,80129
wist,80086
kant,79837
kijk,79577
17,79559
verhaal,79496
kwamen,79280
januari,79176
ogen,79098
succes,79076
lid,78948
betalen,78925
konden,78902
prijs,78820
recht,78775
z'n,78688
bank,78520
vele,78312
dacht,78123
frankrijk,78036
langer,77628
horen,77505
overheid,77389
rol,77184
mens,77104
internationale,77085
gelukkig,77058
oktober,76949
immers,76896
informatie,76723
to,76668
minuten,76443
waarop,76399
vol,76309
burgemeester,76157
zichzelf,75906
and,75836
lekker,75801
waarbij,75686
anderen,75659
radio,75659
bepaalde,75592
begint,75496
2004,75332
meestal,75236
hetzelfde,75236
amsterdam,75089
volledig,75077
brugge,75074
parlement,74746
mooie,74737
ne,74711
zoon,74674
hoge,74568
oh,74551
waarvan,74463
basis,74218
slecht,74104
toekomst,74093
juli,74012
19,73882
wachten,73817
nadat,73815
ver,73812
speelt,73628
duitse,73373
reden,73325
verwacht,73302
god,73252
rest,73236
verordening,72589
loopt,72512
21,72444
acht,72396
oorlog,72371
totaal,72318
economische,72175
22,72159
woord,72130
e,72105
vrijdag,71952
daarvoor,71947
gaf,71624
periode,71566
klaar,71559
>,71448
weekend,71376
bestaan,71346
ma,71150
stelt,71007
vallen,70853
huidige,70806
2005,70591
daarbij,70544
:d,70511
licht,70205
24,70001
hoog,69753
maart,69715
ruim,69496
kort,69460
begon,69418
april,69388
december,69327
betekent,69312
gegeven,69224
programma,68997
50,68967
kosten,68874
+,68784
zoek,68778
zeven,68641
100,68474
vorm,68164
peter,68146
grond,68143
kamer,67916
duitsland,67811
terecht,67724
genomen,67712
punt,67544
bleef,67468
plan,67313
woorden,67267
aandacht,67244
zoeken,67097
nummer,67059
half,67040
eeuw,67027
23,66856
financiele,66820
premier,66239
top,66224
leren,66175
bleek,66120
vanavond,65836
ggg,65831
partijen,65652
plaatsen,65646
gebied,65537
rust,65445
ronde,65384
spelers,65208
zware,65199
new,65177
rode,65130
gebruiken,65104
k,65080
belangrijke,65080
helpen,65054
volgen,64912
t,64727
november,64374
hard,64365
mocht,64202
straks,64175
gij,64128
verenigde,64116
ene,63902
waardoor,63870
gevonden,63853
dienst,63840
nam,63643
gebeurt,63622
volgend,63493
waarschijnlijk,63421
hoewel,63298
rekening,63279
nr.,63223
publiek,63213
feit,63202
zet,63169
geloof,63009
m,62921
proberen,62712
staten,62533
situatie,62499
trekken,62309
27,62284
kennen,62210
zwaar,62166
moesten,62010
doel,61920
'k,61893
gekomen,61829
kun,61566
wa,61496
gemeenschap,61353
maandag,61079
praten,61062
spreken,60986
leden,60914
lezen,60829
unie,60797
intussen,60739
verkiezingen,60658
voorbije,60424
koning,60418
dank,60396
denkt,60364
das,60256
vs,60217
26,60078
dochter,60013
ah,59967
vrienden,59836
centrum,59824
nederlands,59727
winnen,59500
komende,59479
